CensusYear,Sex,Single Year of Age,Administrative Counties,VALUE
2022,Male,0,Carlow County Council,346
2022,Male,0,Dublin City Council,3188
2022,Male,0,Dún Laoghaire Rathdown County Council,1269
2022,Male,0,Fingal County Council,2059
2022,Male,0,South Dublin County Council,1855
2022,Male,0,Kildare County Council,1550
2022,Male,0,Kilkenny County Council,570
2022,Male,0,Laois County Council,555
2022,Male,0,Longford County Council,257
2022,Male,0,Louth County Council,852
2022,Male,0,Meath County Council,1406
2022,Male,0,Offaly County Council,481
2022,Male,0,Westmeath County Council,594
2022,Male,0,Wexford County Council,910
2022,Male,0,Wicklow County Council,910
2022,Male,0,Clare County Council,686
2022,Male,0,Cork City Council,1159
2022,Male,0,Cork County Council,2135
2022,Male,0,Kerry County Council,822
2022,Male,0,Limerick City & County Council,1116
2022,Male,0,Tipperary County Council,1017
2022,Male,0,Waterford City & County Council,678
2022,Male,0,Galway City Council,405
2022,Male,0,Galway County Council,1176
2022,Male,0,Leitrim County Council,200
2022,Male,0,Mayo  County Council,790
2022,Male,0,Roscommon County Council,382
2022,Male,0,Sligo County Council,376
2022,Male,0,Cavan County Council,505
2022,Male,0,Donegal County Council,916
2022,Male,0,Monaghan County Council,445
2022,Male,1,Carlow County Council,347
2022,Male,1,Dublin City Council,2937
2022,Male,1,Dún Laoghaire Rathdown County Council,1245
2022,Male,1,Fingal County Council,1987
2022,Male,1,South Dublin County Council,1922
2022,Male,1,Kildare County Council,1535
2022,Male,1,Kilkenny County Council,576
2022,Male,1,Laois County Council,517
2022,Male,1,Longford County Council,244
2022,Male,1,Louth County Council,809
2022,Male,1,Meath County Council,1403
2022,Male,1,Offaly County Council,491
2022,Male,1,Westmeath County Council,556
2022,Male,1,Wexford County Council,846
2022,Male,1,Wicklow County Council,862
2022,Male,1,Clare County Council,656
2022,Male,1,Cork City Council,1148
2022,Male,1,Cork County Council,2070
2022,Male,1,Kerry County Council,811
2022,Male,1,Limerick City & County Council,1148
2022,Male,1,Tipperary County Council,936
2022,Male,1,Waterford City & County Council,664
2022,Male,1,Galway City Council,362
2022,Male,1,Galway County Council,1135
2022,Male,1,Leitrim County Council,204
2022,Male,1,Mayo  County Council,776
2022,Male,1,Roscommon County Council,380
2022,Male,1,Sligo County Council,383
2022,Male,1,Cavan County Council,527
2022,Male,1,Donegal County Council,963
2022,Male,1,Monaghan County Council,435
2022,Male,2,Carlow County Council,355
2022,Male,2,Dublin City Council,3035
2022,Male,2,Dún Laoghaire Rathdown County Council,1251
2022,Male,2,Fingal County Council,2196
2022,Male,2,South Dublin County Council,1867
2022,Male,2,Kildare County Council,1543
2022,Male,2,Kilkenny County Council,620
2022,Male,2,Laois County Council,605
2022,Male,2,Longford County Council,301
2022,Male,2,Louth County Council,901
2022,Male,2,Meath County Council,1463
2022,Male,2,Offaly County Council,489
2022,Male,2,Westmeath County Council,576
2022,Male,2,Wexford County Council,914
2022,Male,2,Wicklow County Council,906
2022,Male,2,Clare County Council,729
2022,Male,2,Cork City Council,1144
2022,Male,2,Cork County Council,2184
2022,Male,2,Kerry County Council,848
2022,Male,2,Limerick City & County Council,1243
2022,Male,2,Tipperary County Council,957
2022,Male,2,Waterford City & County Council,664
2022,Male,2,Galway City Council,406
2022,Male,2,Galway County Council,1188
2022,Male,2,Leitrim County Council,224
2022,Male,2,Mayo  County Council,795
2022,Male,2,Roscommon County Council,465
2022,Male,2,Sligo County Council,404
2022,Male,2,Cavan County Council,541
2022,Male,2,Donegal County Council,988
2022,Male,2,Monaghan County Council,434
2022,Male,3,Carlow County Council,376
2022,Male,3,Dublin City Council,2875
2022,Male,3,Dún Laoghaire Rathdown County Council,1304
2022,Male,3,Fingal County Council,2223
2022,Male,3,South Dublin County Council,1997
2022,Male,3,Kildare County Council,1611
2022,Male,3,Kilkenny County Council,606
2022,Male,3,Laois County Council,648
2022,Male,3,Longford County Council,283
2022,Male,3,Louth County Council,816
2022,Male,3,Meath County Council,1539
2022,Male,3,Offaly County Council,531
2022,Male,3,Westmeath County Council,590
2022,Male,3,Wexford County Council,961
2022,Male,3,Wicklow County Council,976
2022,Male,3,Clare County Council,723
2022,Male,3,Cork City Council,1188
2022,Male,3,Cork County Council,2260
2022,Male,3,Kerry County Council,867
2022,Male,3,Limerick City & County Council,1193
2022,Male,3,Tipperary County Council,1029
2022,Male,3,Waterford City & County Council,755
2022,Male,3,Galway City Council,410
2022,Male,3,Galway County Council,1247
2022,Male,3,Leitrim County Council,240
2022,Male,3,Mayo  County Council,814
2022,Male,3,Roscommon County Council,441
2022,Male,3,Sligo County Council,420
2022,Male,3,Cavan County Council,560
2022,Male,3,Donegal County Council,1030
2022,Male,3,Monaghan County Council,488
2022,Male,4,Carlow County Council,376
2022,Male,4,Dublin City Council,2869
2022,Male,4,Dún Laoghaire Rathdown County Council,1380
2022,Male,4,Fingal County Council,2275
2022,Male,4,South Dublin County Council,2002
2022,Male,4,Kildare County Council,1704
2022,Male,4,Kilkenny County Council,616
2022,Male,4,Laois County Council,643
2022,Male,4,Longford County Council,276
2022,Male,4,Louth County Council,918
2022,Male,4,Meath County Council,1578
2022,Male,4,Offaly County Council,519
2022,Male,4,Westmeath County Council,599
2022,Male,4,Wexford County Council,1020
2022,Male,4,Wicklow County Council,1010
2022,Male,4,Clare County Council,739
2022,Male,4,Cork City Council,1142
2022,Male,4,Cork County Council,2358
2022,Male,4,Kerry County Council,876
2022,Male,4,Limerick City & County Council,1240
2022,Male,4,Tipperary County Council,1074
2022,Male,4,Waterford City & County Council,756
2022,Male,4,Galway City Council,412
2022,Male,4,Galway County Council,1354
2022,Male,4,Leitrim County Council,223
2022,Male,4,Mayo  County Council,842
2022,Male,4,Roscommon County Council,427
2022,Male,4,Sligo County Council,412
2022,Male,4,Cavan County Council,555
2022,Male,4,Donegal County Council,1042
2022,Male,4,Monaghan County Council,449
2022,Male,5,Carlow County Council,384
2022,Male,5,Dublin City Council,2793
2022,Male,5,Dún Laoghaire Rathdown County Council,1442
2022,Male,5,Fingal County Council,2387
2022,Male,5,South Dublin County Council,2107
2022,Male,5,Kildare County Council,1692
2022,Male,5,Kilkenny County Council,693
2022,Male,5,Laois County Council,641
2022,Male,5,Longford County Council,347
2022,Male,5,Louth County Council,897
2022,Male,5,Meath County Council,1601
2022,Male,5,Offaly County Council,569
2022,Male,5,Westmeath County Council,659
2022,Male,5,Wexford County Council,1022
2022,Male,5,Wicklow County Council,1063
2022,Male,5,Clare County Council,821
2022,Male,5,Cork City Council,1176
2022,Male,5,Cork County Council,2406
2022,Male,5,Kerry County Council,938
2022,Male,5,Limerick City & County Council,1294
2022,Male,5,Tipperary County Council,1083
2022,Male,5,Waterford City & County Council,787
2022,Male,5,Galway City Council,437
